1	19693
2	5415
3	2437
4	1433
5	958
6	694
7	517
8	377
9	313
10	252
11	191
12	173
13	144
14	116
15	118
16	94
17	84
18	76
19	68
20	62
21	61
22	50
23	49
24	46
25	40
26	36
27	48
28	30
29	40
30	26
31	20
32	18
33	29
34	28
35	22
36	26
37	15
38	24
39	25
40	14
41	17
42	19
43	13
44	13
45	14
46	8
47	10
48	16
49	12
50	12
51	12
52	14
53	6
54	9
55	11
56	11
57	9
58	8
59	7
60	8
61	6
62	5
63	6
64	5
65	7
66	6
67	3
68	8
69	6
70	3
71	6
72	1
73	6
74	8
75	8
76	3
77	4
78	2
79	2
80	1
81	2
82	5
83	4
84	2
85	1
86	4
87	1
88	6
89	5
90	5
92	1
93	3
95	3
96	2
97	2
98	2
99	3
100	3
101	4
102	6
103	2
104	1
105	3
106	2
108	2
109	1
110	7
111	1
112	3
113	3
114	4
115	2
116	4
117	2
118	2
119	2
120	1
122	2
123	1
124	4
125	2
126	2
128	1
129	1
130	4
131	3
133	3
134	1
135	1
136	1
137	4
138	1
139	2
141	2
142	2
145	1
148	1
149	1
150	1
151	4
152	1
153	2
154	1
155	1
156	2
157	1
158	1
159	1
160	1
161	3
163	2
164	2
166	3
170	2
171	1
173	1
174	1
177	2
178	1
179	1
180	1
181	1
182	1
185	1
186	1
187	1
189	1
191	2
193	1
194	1
196	1
198	1
199	2
201	2
202	1
203	1
204	1
206	1
209	1
212	1
213	2
214	3
215	1
217	1
220	2
226	1
228	1
229	1
231	1
235	2
237	1
238	1
239	1
240	1
241	1
242	1
250	1
258	1
267	1
268	1
269	1
270	1
279	2
284	1
286	1
288	2
293	1
295	1
300	1
312	1
313	1
319	1
323	1
326	1
328	1
335	1
353	1
355	1
357	1
362	1
363	2
373	2
381	2
395	1
412	1
414	1
415	1
428	1
429	1
432	1
436	1
441	1
447	1
456	1
469	1
495	1
499	1
514	1
575	1
589	1
612	1
639	1
649	1
668	1
671	1
680	1
715	1
717	1
781	1
789	1
800	1
809	1
812	1
873	1
922	1
1153	1
1154	1
1201	1
1505	1
1666	1
1686	1
2880	1
3064	1
6691	1
